账号,微博,时间,肺炎相关,转发,评论,点赞,mid,地址
央视新闻,【#一人一句祝福澳门# 为澳门特区转起！】网友说：澳门你好！和祖国一起腾飞吧！ 祝福澳门！祝愿伟大祖国繁荣昌盛！ 我们一起为澳门祝福！为中国祝福！明天会更好！#澳门我好中意你#,12/20/2019 9:09,0,2605,435,3307,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlBNqpt1X?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【转发下面这条直播！抽奖送40套纪念邮票！】“澳门回归祖国二十周年”邮票20套；“中国人民解放军驻澳门部队进驻二十周年”邮票20套，等你拿！#一人一句祝福澳门#,12/20/2019 9:40,0,3427,756,1721,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlBZRF7k9?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#庆祝澳门回归祖国20周年大会# 正在直播！】习近平主席将发表重要讲话。新任特首贺一诚及特区政府主要官员将宣誓就职。,12/20/2019 10:02,0,320,120,1528,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlC8A86VI?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#庆祝澳门回归祖国20周年大会#【澳门特区第五任行政长官#贺一诚宣誓就职#】中华人民共和国澳门特别行政区第五任行政长官贺一诚宣誓，中华人民共和国国家主席习近平监誓。转起！祝福澳门！ L央视新闻的微博视频,12/20/2019 10:11,0,3323,1581,37117,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlCcyhS3q?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#庆祝澳门回归祖国20周年大会#【习主席：我们绝不允许任何外部势力干预香港、澳门事务！】一起转发这句话！为香港！为澳门！#绝不允许任何外部势力干预香港澳门事务#,12/20/2019 10:49,0,4130,1083,13425,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlCrXhCFB?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#庆祝澳门回归祖国20周年大会#【#绝不允许任何外部势力干预香港澳门事务# #习主席这段话掷地有声#】香港、澳门事务完全是中国内政，用不着任何外部势力指手画脚。我们绝不允许任何外部势力干预香港、澳门事务！支持的转起！ L央视新闻的微博视频,12/20/2019 11:00,0,1738,525,7330,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlCwlpiSx?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【一亿像素看澳门 庆祝#澳门回归20年#】短短二十年，澳门已是盛世繁华！日新月异！一起跟随@小米手机 的「1亿像素相机」，感受澳门的美景！大三巴牌坊、澳门旅游塔、澳门的大街小巷……太美太清晰！转发评论为澳门送祝福！抽奖送10台「1亿像素」的#小米CC9 Pro# 转起！,12/20/2019 11:21,0,63842,29741,66738,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlCF0BWtR?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【转起！祝贺！#我国成功发射一箭九星#】今日11时22分，我国在太原卫星发射中心用长征四号乙运载火箭，成功将中巴地球资源卫星04A星发射升空。卫星顺利进入预定轨道，任务获得圆满成功！中巴地球资源卫星04A星，是中国和巴西两国合作研制的第6颗卫星。此次任务还搭载发射了赠埃塞俄比亚微小卫星 ...展开全文c,12/20/2019 12:00,0,2716,1453,15843,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlCUOtb3e?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,"恭喜@数星星的修仙晨 等20名用户获得【澳门回归祖国20周年邮票】, @楠木南ZN 等20名用户获得【中国人民解放军驻澳门部队进驻20周年邮票】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：O微博抽奖平台",12/20/2019 12:33,0,95,185,882,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlD7Rgmcg?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#一人一句祝福澳门#【我们是相亲相爱的一家人】网友说：有妈的孩子像块宝，希望澳门��宝宝健康快乐茁壮成长 澳门，你是我们的骄 “澳”！稳稳地幸福吧。转发！祝福澳门！,12/20/2019 12:37,0,2370,340,3310,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlD9wlzB6?from=page_1002062656274875_profile&wvr=6&mod=weibotime
